timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,position,geolocation
2015-02-06T14:30:00+00:00,0013a20040b31583,1,509,25.5,25.5,25.5,3.2,3.2,3.2,39.2,39.2,39.2,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150206143000,,"-37.8199043, 144.9404851"
2015-02-12T16:50:00+00:00,0013a20040b31571,1,510,17.1,17.1,17.1,1.5,1.5,1.5,55.9,55.9,55.9,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150212165000,,"-37.8197121, 144.9413253"
2015-02-05T17:25:00+00:00,0013a20040b5b337,1,511,15.5,15.5,15.5,10.6,10.6,10.6,59.6,59.6,59.6,ENV,-37.8195002,144.9418888,,Docklands Library,511-20150205172500,,"-37.8195002, 144.9418888"
2015-02-06T16:45:00+00:00,0013a20040b31583,1,509,24.2,24.2,24.2,3.3,3.3,3.3,42.6,42.6,42.6,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150206164500,,"-37.8199043, 144.9404851"
2015-02-06T17:50:00+00:00,0013a20040b31571,1,510,24.8,24.8,24.8,0.9,0.9,0.9,37.4,37.4,37.4,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150206175000,,"-37.8197121, 144.9413253"
2015-02-06T22:20:00+00:00,0013a20040b31571,1,510,25.8,25.8,25.8,95.0,95.0,95.0,36.0,36.0,36.0,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150206222000,,"-37.8197121, 144.9413253"
2015-02-07T05:55:00+00:00,0013a20040b31583,1,509,32.3,32.3,32.3,94.5,94.5,94.5,21.8,21.8,21.8,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150207055500,,"-37.8199043, 144.9404851"
2015-02-05T18:40:00+00:00,0013a20040b31583,1,509,15.5,15.5,15.5,2.5,2.5,2.5,67.2,67.2,67.2,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150205184000,,"-37.8199043, 144.9404851"
2015-02-05T20:00:00+00:00,0013a20040b31571,1,510,14.5,14.5,14.5,84.8,84.8,84.8,58.5,58.5,58.5,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150205200000,,"-37.8197121, 144.9413253"
2015-02-05T22:55:00+00:00,0013a20040b31571,1,510,28.1,28.1,28.1,97.5,97.5,97.5,42.8,42.8,42.8,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150205225500,,"-37.8197121, 144.9413253"
2015-02-06T02:05:00+00:00,0013a20040b31583,1,509,30.0,30.0,30.0,96.9,96.9,96.9,42.3,42.3,42.3,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150206020500,,"-37.8199043, 144.9404851"
2015-02-06T06:25:00+00:00,0013a20040b5b337,1,511,37.7,37.7,37.7,98.6,98.6,98.6,21.0,21.0,21.0,ENV,-37.8195002,144.9418888,,Docklands Library,511-20150206062500,,"-37.8195002, 144.9418888"
2015-02-06T05:40:00+00:00,0013a20040b31583,1,509,38.4,38.4,38.4,97.6,97.6,97.6,20.4,20.4,20.4,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150206054000,,"-37.8199043, 144.9404851"
2015-02-06T06:00:00+00:00,0013a20040b31583,1,509,37.1,37.1,37.1,97.7,97.7,97.7,19.0,19.0,19.0,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150206060000,,"-37.8199043, 144.9404851"
